,place_of_birth,gender,citizenship,date_of_birth,Person,Wikipeda_FirstSentence,YT_ChannelTitle,YT_SubscriberCount,YT_TotalViews,YT_TotalVideos,YT_Country,YT_ChannelDescription,TwitterName,TwitterFollowers,NumberOfTweets,TwitterFollowing,TwitterUsername,LatestTweet,LatestTweetTime,LatestTweetLikes,KG_Name,KG_Description,KG_Types,KG_DetailedSummary,KG_DetailedURL,InstagramUsername,InstagramBio,InstagramFollowers,InstagramFollowing,InstagramPosts,InstagramVerified,IG_LatestPostTimestamp,IG_LatestPostLikes,IG_LatestPostComments
0,Bristol,male,United Kingdom,1999-11-13,Lando Norris,Lando Norris ( ; born 13 November 1999) is a  British racing driver who competes in Formula One for McLaren.,Lando Norris,1400000,36600306,37,GB,McLaren Formula 1 Racing Driver,Lando Norris,2894411,7063,69,LandoNorris,😈😈😈😈😈 https://t.co/U8CTyQSuwU,2024-07-05T09:48:08.000Z,40957,Lando Norris,British-Belgian racing driver,"Person, Thing","Lando Norris is a British racing driver who competes in Formula One for McLaren. Norris won the Formula One World Drivers' Championship in 2025 with McLaren, and has won 11 Grands Prix across eight seasons.
",https://en.wikipedia.org/wiki/Lando_Norris,lando,F1 World Champion,11793782,715.0,1948,True,2026-04-01T15:42:58.000Z,449786,1807
1,Akron,male,United States,1988-03-14,Stephen Curry,"Wardell Stephen Curry II ( STEF-ən; born March 14, 1988), also known as Steph Curry ( STEF), is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA), where he plays as a point guard.",Stephen Curry,2090000,101602900,216,US,This is the official channel for Golden State Warrior's guard Stephen Curry.,Stephen Curry,17518708,8296,846,StephenCurry30,"Taking the Underrated Golf Tour global has always been about creating more opportunity.

Year 3 in Europe is here.

With the support of @united, we’re continuing to connect athletes and expand the game across continents.

This year at The Belfry, four juniors will earn their way https://t.co/OFWDWNltJM",2026-03-24T17:00:58.000Z,1101,Stephen Curry,American basketball point guard,"Thing, Person","Wardell Stephen Curry II, also known as Steph Curry, is an American professional basketball player for the Golden State Warriors of the National Basketball Association, where he plays as a point guard. ",https://en.wikipedia.org/wiki/Stephen_Curry,stephencurry30,Believer. Husband. Father. Founder. Philanthropist. Olympic Gold Medalist. NYT Best Selling Author. Philippians 4:13.,58258801,1262.0,1530,True,2026-03-31T16:12:09.000Z,100986,483
2,Funchal,male,Portugal,1985-02-05,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro (born 5 February 1985), nicknamed CR7, is a Portuguese professional footballer who plays as a forward for and captains both Saudi Pro League club Al-Nassr and the Portugal national team.",UR · Cristiano,78500000,973887730,131,PT,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,Cristiano Ronaldo,106527878,4437,80,Cristiano,Getting ready 💪🏽 https://t.co/QPy2o0yllp,2026-04-02T20:09:58.000Z,152144,Cristiano Ronaldo,Portuguese footballer,"Thing, Person","Cristiano Ronaldo dos Santos Aveiro, nicknamed CR7, is a Portuguese professional footballer who plays as a forward for and captains both Saudi Pro League club Al-Nassr and the Portugal national team. ",https://en.wikipedia.org/wiki/Cristiano_Ronaldo,cristiano,,672883042,630.0,4033,True,2026-04-02T20:05:16.000Z,2064900,17050
3,Monte Carlo,male,Monaco,1997-10-16,Charles Leclerc,Charles Marc Hervé Perceval Leclerc (French pronunciation: [ʃaʁl(ə) ləklɛʁ]; born 16 October 1997) is a Monégasque racing driver who competes in Formula One for Ferrari.,Charles Leclerc,1510000,57598062,75,FR,"The official YouTube channel for Ferrari Formula 1 driver, Charles Leclerc. Subscribe and turn on notifications to see the latest behind the scenes moments and race content.",Charles Leclerc,3767396,2402,188,Charles_Leclerc,back home 🩵 @vistajet https://t.co/vo2zWOsu9r,2026-04-01T18:23:39.000Z,15549,Charles Leclerc,Monégasque motorsports racing driver,"Person, Thing","Charles Marc Hervé Perceval Leclerc is a Monégasque racing driver who competes in Formula One for Ferrari. Leclerc was runner-up in the Formula One World Drivers' Championship in 2022 with Ferrari, and has won eight Grands Prix across nine seasons.
",https://en.wikipedia.org/wiki/Charles_Leclerc,charles_leclerc,Formula 1 driver @scuderiaferrari,23645574,1383.0,1483,True,2026-03-02T16:51:29.000Z,10655023,35276
4,Athens,male,Greece,1994-12-06,Giannis Antetokounmpo,"Giannis Sina Ougko Antetokounmpo (born Giannis Sina Ugo Adetokunbo, December 6, 1994) is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA).",Giannis Antetokounmpo,318000,34103013,70,US,I want to give you a look behind-the-scenes at my life on and off the court. SUBSCRIBE so you don't miss a thing!!,Giannis Antetokounmpo,3370088,51,9,Giannis_An34,"I’m excited about this one. I’m officially a partner of @im8health and shareholder of Nasdaq-listed Prenetics. I’ve always said, I don’t just endorse things, I invest in what I believe in. 💪🏾💪🏾 https://t.co/In3XSkrx2T",2026-04-02T14:18:36.000Z,311,Giannis Antetokounmpo,Greek-Nigerian basketball player,"Thing, Person","Giannis Sina Ougko Antetokounmpo is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association. His size, speed, and strength have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest players and power forwards of all time.
",https://en.wikipedia.org/wiki/Giannis_Antetokounmpo,giannis_an34,,16004399,253.0,17,True,2026-04-02T14:15:10.000Z,16316,186
5,Chino Hills,male,United States,2001-08-22,LaMelo Ball,"LaMelo LaFrance Ball ( lə-MEL-oh; August 22, 2001) is an American professional basketball player for the Charlotte Hornets of the National Basketball Association (NBA).",LaMelo Ball,47100,0,0,US,"The official YouTube of LaMelo Ball aka Dip. Follow me on my journey as the youngest to ever do it 

instagram.com/melo
twitter.com/melod1p",Melo,1050041,2549,55,MELOD1P,play dat first full vid lmaooo kris💀💀💀💀love gang https://t.co/oeRayzIZaX,2026-03-27T04:23:26.000Z,34495,LaMelo Ball,American basketball player,"Person, Thing","LaMelo LaFrance Ball is an American professional basketball player for the Charlotte Hornets of the National Basketball Association. He was selected by the Hornets with the third overall pick of the 2020 NBA draft. Ball was voted the NBA Rookie of the Year in 2021 and named an NBA All-Star the following season in 2022.
",https://en.wikipedia.org/wiki/LaMelo_Ball,melo,1 of 1 🕺🏽🛸💕,10699768,160.0,563,True,2026-04-02T15:45:36.000Z,21658,119
6,West Reading,female,United States,1989-12-13,Taylor Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter.",Taylor Swift,63100000,44367394830,658,Unknown,"And, baby, that’s show business for you. New album The Life of a Showgirl. Available now ❤️‍🔥
",Taylor Swift,79408514,883,0,taylorswift13,"I never want to forget a single detail of this hysterical shoot, and now I don’t have to! Excited to share more of the Opalite Music Video with two extended versions full of dance lessoning, our phenomenal cameos, camcorder footage, gigantic scrunchies &amp; fanny pack angles! Parts https://t.co/t7ZK6FAKRr",2026-02-13T05:11:22.000Z,104107,Taylor Swift,American singer-songwriter,"Thing, Person","Taylor Alison Swift is an American singer-songwriter. An influential figure in popular culture, she is known for her autobiographical songwriting and artistic reinventions. ",https://en.wikipedia.org/wiki/Taylor_Swift,taylorswift,"And, baby, that’s show business for you. New album The Life of a Showgirl. Available now  ❤️‍🔥",280380921,,704,True,2026-02-06T13:02:00.000Z,4516147,0
7,Los Angeles,female,United States,2001-12-18,Billie Eilish,"Billie Eilish Pirate Baird O'Connell ( EYE-lish; born December 18, 2001) is an American singer-songwriter.",BillieEilishVEVO,1160000,14153749803,183,Unknown,,billie eilish,8082357,1293,0,billieeilish,HIT ME HARD AND SOFT: THE TOUR (LIVE IN 3D) in theatres May 8th https://t.co/HspDTbYVUG,2026-03-17T17:06:55.000Z,21649,Billie Eilish,American singer-songwriter,"Thing, Person","Billie Eilish Pirate Baird O'Connell is an American singer-songwriter. Known for her distinctive musical sound and vocal style, Eilish is a prominent figure in 2020s pop culture. ",https://en.wikipedia.org/wiki/Billie_Eilish,billieeilish,"“HIT ME HARD AND SOFT” THE ALBUM
OUT NOW",125290433,,1040,True,2024-04-08T15:00:07.000Z,10310391,226773
8,Westlake,male,United States,1995-04-01,Logan Paul,"Logan Alexander Paul (born April 1, 1995) is an American influencer, professional wrestler, entrepreneur, boxer, singer and actor.",TheOfficialLoganPaul,6120000,1596291551,544,US,"Creator, artist, entrepreneur, business lad. ",Logan Paul,6404789,11482,4120,LoganPaul,First day as World Tag Team Champs ✅ https://t.co/5jwYIGtF8p,2026-03-31T23:11:03.000Z,13701,Logan Paul,American Influencer and professional wrestler,"Person, Thing","Logan Alexander Paul is an American influencer, professional wrestler, entrepreneur, boxer, singer and actor. As a wrestler, he has been signed to WWE since June 2022, where he performs on the Raw brand. ",https://en.wikipedia.org/wiki/Logan_Paul,loganpaul,"artist — collector — wrestler
founder @drinkprime @lunchly 
host @impaulsiveshow
👇Sign up to @Ripit for VIP early access",26806395,1030.0,1363,True,2026-01-13T17:32:53.000Z,674451,9299
9,Wichita,male,United States,1998-05-07,MrBeast,"James Stephen ""Jimmy"" Donaldson (born May 7, 1998), better known as MrBeast, is an American YouTuber, media personality, philanthropist, and businessman.",MrBeast,474000000,116345617363,959,US,"SUBSCRIBE FOR A COOKIE!
New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Helped 2,000 people walk again
- Helped 1,000 blind people see
- Helped 1,000 deaf people hear
- Built wells in Africa
- Built and gave away 100 houses
- Adopted every dog in a shelter (twice)
- Given millions to charity
- Started my own snack company Feastables
- Started my own software company Viewstats
- Started Lunchly, a tasty, better-for-you lunch option
- Gave away a private island (twice)
- Gave away 1 million meals
- I counted to 100k
- Ran a marathon in the world's largest shoes
- Survived 50 hours in Antarctica
- Recreated Squid Game in real life
- Created the largest competition show with 1000 people (Beast Games)
- Gave $5,000,000 to one person
- Passed T-Series to become most subscribed YouTube channel 🥹
you get it, I appreciate all of you so much :)
",MrBeast,34414278,7840,2290,MrBeast,@johncoogan @sama Call me!,2026-04-02T18:25:07.000Z,980,MrBeast,American YouTuber,"Thing, Person","James Stephen ""Jimmy"" Donaldson, better known as MrBeast, is an American YouTuber, media personality, philanthropist, and businessman. ",https://en.wikipedia.org/wiki/MrBeast,mrbeast,Beast Games 2 Strong Vs Smart is out!!,85805140,925.0,470,True,2024-11-28T20:10:49.000Z,19746075,191615
