,place_of_birth,gender,citizenship,date_of_birth,Person,Wikipeda_FirstSentence,YT_ChannelTitle,YT_SubscriberCount,YT_TotalViews,YT_TotalVideos,YT_Country,YT_ChannelDescription,TwitterName,TwitterFollowers,NumberOfTweets,TwitterFollowing,TwitterUsername,LatestTweet,LatestTweetTime,LatestTweetLikes,KG_Name,KG_Description,KG_Types,KG_DetailedSummary,KG_DetailedURL,InstagramUsername,InstagramBio,InstagramFollowers,InstagramFollowing,InstagramPosts,InstagramVerified,IG_LatestPostTimestamp,IG_LatestPostLikes,IG_LatestPostComments
0,Bristol,male,United Kingdom,1999-11-13,Lando Norris,Lando Norris ( ; born 13 November 1999) is a  British racing driver who competes in Formula One for McLaren.,Lando Norris,1400000,36490428,37,GB,McLaren Formula 1 Racing Driver,Lando Norris,2897362,7063,69,LandoNorris,😈😈😈😈😈 https://t.co/U8CTyQSuwU,2024-07-05T09:48:08.000Z,40945,Lando Norris,British-Belgian racing driver,"Thing, Person","Lando Norris is a British racing driver who competes in Formula One for McLaren. Norris won the Formula One World Drivers' Championship in 2025 with McLaren, and has won 11 Grands Prix across eight seasons.
",https://en.wikipedia.org/wiki/Lando_Norris,lando,F1 World Champion,11710017,708.0,1943,True,2026-03-08T09:36:44.000Z,319633,1279
1,Akron,male,United States,1988-03-14,Stephen Curry,"Wardell Stephen Curry II ( STEF-ən; born March 14, 1988), also known as Steph Curry ( STEF), is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA), where he plays as a point guard.",Stephen Curry,2090000,101176681,215,US,This is the official channel for Golden State Warrior's guard Stephen Curry.,Stephen Curry,17139986,8293,845,StephenCurry30,"Teamed up with @Rakuten to help empower the next wave of creators. See how it all came together behind the scenes. Shop the winning shoe designed by Arthur Nash through Rakuten 👟✨ #rakutenpartner 

https://t.co/16fUA5N0CD https://t.co/ZPQ8OGV4XW",2026-03-06T17:25:17.000Z,1229,Stephen Curry,American basketball point guard,"Person, Thing","Wardell Stephen Curry II, also known as Steph Curry, is an American professional basketball player for the Golden State Warriors of the National Basketball Association, where he plays as a point guard. ",https://en.wikipedia.org/wiki/Stephen_Curry,stephencurry30,Believer. Husband. Father. Founder. Philanthropist. Olympic Gold Medalist. NYT Best Selling Author. Philippians 4:13.,58307703,1252.0,1522,True,2026-03-06T17:01:07.000Z,32123,237
2,Funchal,male,Portugal,1985-02-05,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro (born 5 February 1985), nicknamed CR7, is a Portuguese professional footballer who plays as a forward for and captains both Saudi Pro League club Al-Nassr and the Portugal national team.",UR · Cristiano,78300000,968289393,131,PT,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,Cristiano Ronaldo,106007578,4426,80,Cristiano,"Recovering and ready to watch the game today. Let's go, Al Nassr! 🟡🔵 https://t.co/o7b9dD8MTN",2026-03-07T14:17:19.000Z,483627,Cristiano Ronaldo,Portuguese footballer,"Person, Thing","Cristiano Ronaldo dos Santos Aveiro, nicknamed CR7, is a Portuguese professional footballer who plays as a forward for and captains both Saudi Pro League club Al-Nassr and the Portugal national team. ",https://en.wikipedia.org/wiki/Cristiano_Ronaldo,cristiano,,672054332,628.0,4020,True,2026-03-08T12:13:02.000Z,10028382,48946
3,Monte Carlo,male,Monaco,1997-10-16,Charles Leclerc,Charles Marc Hervé Perceval Leclerc (French pronunciation: [ʃaʁl(ə) ləklɛʁ]; born 16 October 1997) is a Monégasque racing driver who competes in Formula One for Ferrari.,Charles Leclerc,1500000,56433448,75,FR,"The official YouTube channel for Ferrari Formula 1 driver, Charles Leclerc. Subscribe and turn on notifications to see the latest behind the scenes moments and race content.",Charles Leclerc,3736681,2396,188,Charles_Leclerc,"Quite a bit of work to do but it’s good to be starting the year with a podium 😘 
First few laps were fun, we’ll try again next week on the most challenging track of the season for me 🙃
See you soon China 🇨🇳🤍 https://t.co/rXFAVv0eEZ",2026-03-08T18:06:30.000Z,25471,Charles Leclerc,Monégasque motorsports racing driver,"Person, Thing","Charles Marc Hervé Perceval Leclerc is a Monégasque racing driver who competes in Formula One for Ferrari. Leclerc was runner-up in the Formula One World Drivers' Championship in 2022 with Ferrari, and has won eight Grands Prix across nine seasons.
",https://en.wikipedia.org/wiki/Charles_Leclerc,charles_leclerc,Formula 1 driver @scuderiaferrari,23279420,1381.0,1472,True,2026-03-08T15:12:07.000Z,1015050,3786
4,Athens,male,Greece,1994-12-06,Giannis Antetokounmpo,"Giannis Sina Ougko Antetokounmpo (born Giannis Sina Ugo Adetokunbo, December 6, 1994) is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA).",Giannis Antetokounmpo,318000,34090521,69,US,I want to give you a look behind-the-scenes at my life on and off the court. SUBSCRIBE so you don't miss a thing!!,Giannis Antetokounmpo,3358130,49,9,Giannis_An34,"I'm proud and honored to partner with my friend @alexisohanian, joining the ownership group of @ChelseaFCW, a historic club built on passion, excellence, and a winning culture. Chelsea’s history speaks for itself, and I’m excited to contribute to the future by supporting https://t.co/LEzNakL9Rd",2026-02-08T01:16:30.000Z,42349,Giannis Antetokounmpo,Greek-Nigerian basketball player,"Person, Thing","Giannis Sina Ougko Antetokounmpo is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association. His size, speed, and strength have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest players and power forwards of all time.
",https://en.wikipedia.org/wiki/Giannis_Antetokounmpo,giannis_an34,,16039060,230.0,15,True,2026-02-21T20:44:18.000Z,216050,782
5,Chino Hills,male,United States,2001-08-22,LaMelo Ball,"LaMelo LaFrance Ball ( lə-MEL-oh; August 22, 2001) is an American professional basketball player for the Charlotte Hornets of the National Basketball Association (NBA).",LaMelo Ball,46200,0,0,US,"The official YouTube of LaMelo Ball aka Dip. Follow me on my journey as the youngest to ever do it 

instagram.com/melo
twitter.com/melod1p",Melo,1050747,2548,56,MELOD1P,RT @shannonsharpeee: Gelo drops music video for his new song “Backyard Ball” 🏀🔥 https://t.co/ISEZGygOQO,2026-02-28T04:23:04.000Z,0,LaMelo Ball,American basketball player,"Person, Thing","LaMelo LaFrance Ball is an American professional basketball player for the Charlotte Hornets of the National Basketball Association. He was selected by the Hornets with the third overall pick of the 2020 NBA draft. Ball was voted the NBA Rookie of the Year in 2021 and named an NBA All-Star the following season in 2022.
",https://en.wikipedia.org/wiki/LaMelo_Ball,melo,1 of 1 🕺🏽🛸💕,10653427,158.0,552,True,2026-03-01T03:19:54.000Z,44459,246
6,West Reading,female,United States,1989-12-13,Taylor Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter.",Taylor Swift,63100000,43956177399,657,Unknown,"And, baby, that’s show business for you. New album The Life of a Showgirl. Available now ❤️‍🔥
",Taylor Swift,79157796,883,0,taylorswift13,"I never want to forget a single detail of this hysterical shoot, and now I don’t have to! Excited to share more of the Opalite Music Video with two extended versions full of dance lessoning, our phenomenal cameos, camcorder footage, gigantic scrunchies &amp; fanny pack angles! Parts https://t.co/t7ZK6FAKRr",2026-02-13T05:11:22.000Z,103206,Taylor Swift,American singer-songwriter,"Person, Thing","Taylor Alison Swift is an American singer-songwriter. An influential figure in popular culture, she is known for her autobiographical songwriting and artistic reinventions. ",https://en.wikipedia.org/wiki/Taylor_Swift,taylorswift,"And, baby, that’s show business for you. New album The Life of a Showgirl. Available now  ❤️‍🔥",280652103,,704,True,2026-02-06T13:02:00.000Z,4498326,0
7,Los Angeles,female,United States,2001-12-18,Billie Eilish,"Billie Eilish Pirate Baird O'Connell ( EYE-lish; born December 18, 2001) is an American singer-songwriter.",BillieEilishVEVO,1150000,14047736355,183,Unknown,,billie eilish,7901786,1292,0,billieeilish,Billie for YOUR TURN II https://t.co/bAORW0U71L,2026-01-21T20:28:25.000Z,27635,Billie Eilish,American singer-songwriter,"Thing, Person","Billie Eilish Pirate Baird O'Connell is an American singer-songwriter. Known for her distinctive musical sound and vocal style, Eilish is a prominent figure in 2020s pop culture. ",https://en.wikipedia.org/wiki/Billie_Eilish,billieeilish,"“HIT ME HARD AND SOFT” THE ALBUM
OUT NOW",125264454,,1038,True,2024-04-08T15:00:07.000Z,10259595,226429
8,Westlake,male,United States,1995-04-01,Logan Paul,"Logan Alexander Paul (born April 1, 1995) is an American influencer, professional wrestler, entrepreneur, boxer, singer and actor.",TheOfficialLoganPaul,6120000,1580572586,527,US,"Creator, artist, entrepreneur, business lad. ",Logan Paul,6412243,11460,4124,LoganPaul,"Welp. The bosses called

Turns out I’m too valuable of a WWE Superstar to be fighting bums

I want to take this opportunity to congratulate @LeVeonBell and @BreidenFehoko for their 15 minutes of relevancy. Now back to being broke and retired 

I’m going back to RAW every Monday",2026-03-08T18:27:51.000Z,11919,Logan Paul,American Influencer and professional wrestler,"Person, Thing","Logan Alexander Paul is an American influencer, professional wrestler, entrepreneur, boxer, singer and actor. As a wrestler, he is signed to WWE, where he performs on the Raw brand and is a member of The Vision stable. ",https://en.wikipedia.org/wiki/Logan_Paul,loganpaul,"artist — collector — wrestler
founder @drinkprime @lunchly 
host @impaulsiveshow
👇Sign up to @Ripit for VIP early access",26867322,1012.0,1353,True,2026-01-13T17:32:53.000Z,675809,9061
9,Wichita,male,United States,1998-05-07,MrBeast,"James Stephen ""Jimmy"" Donaldson (born May 7, 1998), better known as MrBeast, is an American YouTuber, media personality, philanthropist, and businessman.",MrBeast,470000000,113667919739,950,US,"SUBSCRIBE FOR A COOKIE!
New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Helped 2,000 people walk again
- Helped 1,000 blind people see
- Helped 1,000 deaf people hear
- Built wells in Africa
- Built and gave away 100 houses
- Adopted every dog in a shelter (twice)
- Given millions to charity
- Started my own snack company Feastables
- Started my own software company Viewstats
- Started Lunchly, a tasty, better-for-you lunch option
- Gave away a private island (twice)
- Gave away 1 million meals
- I counted to 100k
- Ran a marathon in the world's largest shoes
- Survived 50 hours in Antarctica
- Recreated Squid Game in real life
- Created the largest competition show with 1000 people (Beast Games)
- Gave $5,000,000 to one person
- Passed T-Series to become most subscribed YouTube channel 🥹
you get it, I appreciate all of you so much :)
",MrBeast,34181807,7807,2286,MrBeast,I sat down with the grandson of Reese’s to see if he likes Feastables Cups or Reeses better 👀 https://t.co/kBIXgLHbPv,2026-03-08T16:33:00.000Z,6190,MrBeast,American YouTuber,"Thing, Person","James Stephen ""Jimmy"" Donaldson, better known as MrBeast, is an American YouTuber, media personality, philanthropist, and businessman. ",https://en.wikipedia.org/wiki/MrBeast,mrbeast,Beast Games 2 Strong Vs Smart is out!!,85120189,914.0,462,True,2024-11-28T20:10:49.000Z,19707770,184210
